"sample","issue_id","issue_number","issue_title","issue_state","issue_html","category","documentation","source code","configuration file","link for commit or pull request"
"spring-guides/gs-rest-service",332041235,75,"Jackson links in README need updating","closed","https://github.com/spring-guides/gs-rest-service/issues/75","Improvement",1,0,0,"https://github.com/spring-guides/gs-rest-service/commit/6a49f7a44da434a67d3f112f4ff7441905688623"
"spring-guides/gs-rest-service",105483379,32,"Documentation Nit: Wrong class name","closed","https://github.com/spring-guides/gs-rest-service/issues/32","Improvement",1,0,0,"https://github.com/spring-guides/gs-rest-service/commit/5519daf1028e0558d3c87a8c7abd561c73635c80"
"spring-guides/gs-rest-service",46262319,26,"required = false is obsolete in GreetingController","closed","https://github.com/spring-guides/gs-rest-service/issues/26","Improvement",0,1,0,"https://github.com/spring-guides/gs-rest-service/commit/36fea0542e5a012f137ee2947d233c55b27aa786"
"spring-guides/gs-rest-service",35858388,22,"@RestController in GreetingController","closed","https://github.com/spring-guides/gs-rest-service/issues/22","Improvement",0,1,0,"https://github.com/spring-guides/gs-rest-service/commit/97f4d02b4f9f2d231c7a24d5d35d55a2070c4d0f"
"spring-guides/gs-rest-service",29559762,19,"Upgrade this guide to latest Spring Boot release","closed","https://github.com/spring-guides/gs-rest-service/issues/19","Improvement",0,0,1,"https://github.com/spring-guides/gs-rest-service/commit/8d1ef64d805f02da44aa6b3bb5389b41f63edb37"
"spring-guides/gs-spring-boot-docker",69598171,3,"Minor issues / suggestions for gs-spring-boot-docker guide","closed","https://github.com/spring-guides/gs-spring-boot-docker/issues/3","Improvement",1,1,0,"https://github.com/spring-guides/gs-spring-boot-docker/commit/7992d192acdce03a4141a98178cd7d7a3c2e51e1"
"spring-guides/gs-maven",467868600,31,"How to run Jar file not explained.","closed","https://github.com/spring-guides/gs-maven/issues/31","Improvement",1,0,0,"https://github.com/spring-guides/gs-maven/commit/3686f0a671309524feb5aa783303ee92afdbcd8c"
"spring-guides/gs-crud-with-vaadin",212757192,9,"Upgrade README to vaadin 8","closed","https://github.com/spring-guides/gs-crud-with-vaadin/issues/9","Improvement",1,1,1,"https://github.com/spring-guides/gs-crud-with-vaadin/commit/a99a7f3e38af2075b908df72634635fb11f53af9"
"spring-guides/gs-uploading-files",564724908,65,"Can't download a file containing an %","closed","https://github.com/spring-guides/gs-uploading-files/issues/65","Improvement",0,1,0,"https://github.com/spring-guides/gs-uploading-files/commit/44863fef29893f2fc73106143d8841d36bad6414"
"spring-guides/gs-uploading-files",159786090,24,"duplicate condition","closed","https://github.com/spring-guides/gs-uploading-files/issues/24","Improvement",1,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/bc402eea88422278b51e3a4735be5ac371eab286"
"spring-guides/gs-uploading-files",52345593,12,"Text mentions REST endpoints which doesn't seem relevant to this guide","closed","https://github.com/spring-guides/gs-uploading-files/issues/12","Improvement",1,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/862f636c7a88642658c68e000baa051ce4e75439"
"spring-guides/gs-uploading-files",52345252,10,"Use Boot's auto-configuration rather than declaring the MultipartConfigElement bean","closed","https://github.com/spring-guides/gs-uploading-files/issues/10","Improvement",1,1,1,"https://github.com/spring-guides/gs-uploading-files/commit/862f636c7a88642658c68e000baa051ce4e75439"
"spring-guides/gs-service-registration-and-discovery",528840696,22,"Spring boot version and spring cloud version does not match","closed","https://github.com/spring-guides/gs-service-registration-and-discovery/issues/22","Improvement",0,0,1,"https://github.com/spring-guides/gs-service-registration-and-discovery/commit/d132b271d8c0bd100a5a17adea48f4503a4d76c7"
"spring-guides/gs-securing-web",422362609,40,"Update to Spring Boot 2.1.3.RELEASE","closed","https://github.com/spring-guides/gs-securing-web/issues/40","Improvement",1,0,1,"https://github.com/spring-guides/gs-securing-web/commit/47cb940c7b8c8915ba8b0573043b0647ca0ffc40"
"spring-guides/gs-rest-service-cors",75660567,6,"update this guide once Spring Framework 4.2 + Boot 1.3 are released","closed","https://github.com/spring-guides/gs-rest-service-cors/issues/6","Improvement",1,1,1,"https://github.com/spring-guides/gs-rest-service-cors/commit/fcf17441ce0754eaf4dad301f05d9289c9263133"
"spring-guides/gs-multi-module",457867749,22,"update this guide to gradle 5.4","closed","https://github.com/spring-guides/gs-multi-module/issues/22","Improvement",0,0,1,"https://github.com/spring-guides/gs-multi-module/commit/3bcc4ae33f9ff35ba2e61f8241b76e934ff6dcc4"
"spring-guides/gs-messaging-jms",23417750,4,"Remove ""Run the service"" section","closed","https://github.com/spring-guides/gs-messaging-jms/issues/4","Improvement",1,0,0,"https://github.com/spring-guides/gs-messaging-jms/commit/a21668e9548075deb1c2b65509690515c6e1dae2"
"spring-guides/gs-accessing-mongodb-data-rest",32480887,1,"README ""graph-based data"" -> ""document-based data""","closed","https://github.com/spring-guides/gs-accessing-mongodb-data-rest/issues/1","Improvement",1,0,0,"https://github.com/spring-guides/gs-accessing-mongodb-data-rest/commit/1837ec98d7dd858d08e371c07ca19414990ebf76"
"spring-guides/gs-accessing-data-rest",132251291,4,"Typo in reference to RepositoryRestConfiguration.setReturnBodyOnCreate","closed","https://github.com/spring-guides/gs-accessing-data-rest/issues/4","Improvement",1,0,0,"https://github.com/spring-guides/gs-accessing-data-rest/commit/768f95f34850ceacc23f3af7e0b0a142aa85ec44"
"spring-guides/getting-started-guides",177567247,32,"Documentation issue for Serving Web Content with Spring MVC","closed","https://github.com/spring-guides/getting-started-guides/issues/32","Improvement",1,0,0,"https://github.com/spring-guides/gs-serving-web-content/commit/03d31df13c765f2e935b6b38f6904ab19edd798c"
"spring-guides/gs-accessing-data-gemfire",781470625,16,"Getting Started Guides - Links for Build with Maven, Gradle and IDE don't work","closed","https://github.com/spring-guides/gs-accessing-data-gemfire/issues/16","Improvement",1,0,0,"https://github.com/spring-guides/gs-accessing-data-gemfire/commit/0e28d1aa2c7a1e544dfe5bf437bcbe8bc3408066"
"spring-guides/gs-validating-form-input",231763600,21,"Typo in 'Create a web controller' section","closed","https://github.com/spring-guides/gs-validating-form-input/issues/21","Improvement",1,0,0,"https://github.com/spring-guides/gs-validating-form-input/commit/29599b063c732c0a7e1471c2dbfae3d4cc96e49b"
"spring-guides/gs-messaging-redis",32133024,5,"Use autoconfiguration for jedis when available.","closed","https://github.com/spring-guides/gs-messaging-redis/issues/5","Improvement",1,1,1,"https://github.com/spring-guides/gs-messaging-redis/commit/8426ca6da9ff937be95ade9fb8e5b56fad4620f4"
