"framework","sample","issue_id","issue_number","issue_title","issue_state","issue_html","category","documentation","source code","configuration file","link for commit or pull request"
"Android","googlesamples/android-WatchFace",120476942,4,"Add a link to Android Testing Library site to README.md","closed","https://github.com/android/testing-samples/issues/71","Improvement",1,0,0,"https://github.com/android/testing-samples/pull/72/files"
"Android","googlesamples/android-play-safetynet",235521504,6,"TrivialDriveKotlin: Needs to be upgraded to API 29","closed","https://github.com/android/play-billing-samples/issues/355","Improvement",0,1,1,"https://github.com/android/play-billing-samples/commit/51e97690dd5343c2ab7970c0217e17cc177b7506"
"Android","googlesamples/android-unsplash",156658459,2,"Dynamically update color of status bar for each image and use light status bar for contrast","closed","https://github.com/googlearchive/android-unsplash/issues/6","Improvement",0,1,1,"https://github.com/googlearchive/android-unsplash/commit/5f001bbfa72e0ef18d13b98b829ab2b9f97add88"
"Android","googlesamples/androidtv-Leanback",372886150,134,"Add padding to GoogleMap dynamically","closed","https://github.com/googlearchive/android-OurStreets/issues/1","Improvement",0,1,0,"https://github.com/googlearchive/android-OurStreets/commit/8e8df18504c3317bc9c8551791658aec67f8ee03"
"Android","googlesamples/android-testing",547483053,303,"Please move from native to Skylark rules for external git/http repositories","closed","https://github.com/android/testing-samples/issues/213","Improvement",0,0,1,"https://github.com/android/testing-samples/pull/215/commits/8fc60942c1631e62046151c5d965bc4cfaebafae"
"Android","googlesamples/android-testing",453393709,279,"App in unittesting-BasicSample-app should contain the EMAIL_PATTERN","closed","https://github.com/android/testing-samples/issues/25","Improvement",0,1,0,"https://github.com/android/testing-samples/pull/28/commits/c580c1e47bb20f6209d169d3b941b3cda1112fb9"
"Android","googlesamples/android-testing",422075661,252,"ClassyTaxiJava: missing transferSubscription implementation","closed","https://github.com/android/play-billing-samples/issues/312","Improvement",0,1,0,"https://github.com/android/play-billing-samples/pull/311/commits/ea4cd756c8fffd21c0f6145f7f05d04d9ed5d083"
"Android","googlesamples/android-testing",397058172,239,"ClassyTaxiJava: gson parsing issue","closed","https://github.com/android/play-billing-samples/issues/293","Improvement",0,1,0,"https://github.com/android/play-billing-samples/pull/292/commits/229a8ade6922584a7278ca673da6b1b3c5fe1426"
"Android","googlesamples/android-testing",387741616,226,"ClassyTaxiJava: Fix SubscriptionStatus.listFromMap() always return empty list","closed","https://github.com/android/play-billing-samples/issues/285","Improvement",0,1,0,"https://github.com/android/play-billing-samples/pull/284/files"
"Android","googlesamples/android-testing",385777996,224,"IabHelper.dispose() can cause crashes in pending async operations","closed","https://github.com/android/play-billing-samples/issues/5","Improvement",0,1,0,"https://github.com/android/play-billing-samples/pull/6/commits/e17a11c0987b0969f1c66d6684acc793c5c17ed6"
"Android","googlesamples/android-testing",373797822,213,"TrivialDriveKotlin: DSL element 'annotationProcessorOptions.includeCompileClasspath' is obsolete.","closed","https://github.com/android/play-billing-samples/issues/359","Modification",0,1,1,"https://github.com/android/play-billing-samples/commit/51e97690dd5343c2ab7970c0217e17cc177b7506"
"Android","googlesamples/android-testing",368935650,203,"JUnit3 tests are not working","closed","https://github.com/googlesamples/android-testing-templates/issues/9","Modification",0,1,1,"https://github.com/googlesamples/android-testing-templates/commit/6f522c3db3d0b93aeb55c35ea3ea68833d8dbbbc"
"Android","googlesamples/android-testing",252035715,144,"""Size of the transferred file doesn't match the original size"" when using WearFileTransfer facility","closed","https://github.com/googlearchive/android-WearCompanionLibrary/issues/5","Modification",0,1,0,"https://github.com/googlearchive/android-WearCompanionLibrary/pull/6/commits/e0bd4ef0e97d78b76ad370d9d05ab9ba9a6f2014"
"Android","googlesamples/android-testing",168452554,100,"Can we use this lib on a method that has param?","closed","https://github.com/googlesamples/easypermissions/issues/169","Question",1,0,0,"https://github.com/googlesamples/easypermissions/pull/185/commits/83edd878ac2e059c843711dc24180b1293b04696"
"Android","googlesamples/android-testing",122269987,73,"Private methods with @AfterPermissionGranted annotation is not executed","closed","https://github.com/googlesamples/easypermissions/issues/3","Question",0,1,0,"https://github.com/googlesamples/easypermissions/pull/4/commits/8c41fc49c8f124c304771d07c538ec75fb59cb92"
"Android","googlesamples/android-testing",121444640,71,"Test device owner provisioning on device without NFC","closed","https://github.com/googlesamples/android-testdpc/issues/2","Question",0,14,0,"https://github.com/googlesamples/android-testdpc/commit/1adbdc24086bc8c0c17a1e03b94359bbe4e1bfe9"
"Android","googlesamples/android-testing",83444369,25,"ClassyTaxi : Changing Google Play Developer Api to v3","closed","https://github.com/android/play-billing-samples/issues/250","Question",0,0,1,"https://github.com/android/play-billing-samples/pull/265/files"
"Android","googlesamples/android-testing",52574019,2,"Sample is not showing any notification","closed","https://github.com/android/location-samples/issues/111","Running",0,1,1,"https://github.com/android/location-samples/pull/115"
"Android","googlesamples/android-Camera2Basic",134886173,33,"Big Crashe in android/Signing, MainActivity method updateUI","closed","https://github.com/googlesamples/google-services/issues/25","Running",0,1,1,"https://github.com/googlesamples/google-services/commit/66412661ecc81d3b9735c60c8f0af38c0919311e"
"Android","googlesamples/android-Camera2Basic",121001304,24,"Google Fit connexion not working","closed","https://github.com/googlearchive/android-WatchFace/issues/4","Running",1,1,1,"https://github.com/googlearchive/android-WatchFace/commit/ed1656a828f2379a8fd0676ae7bc1d398ee13af8#diff-ec45bf89ea8061d4c3cf19c0f73492d1"
"Android","googlesamples/android-nearby",339211083,62,"Crash on rotation when trying to build the GoogleApiClient","closed","https://github.com/googlesamples/android-play-safetynet/issues/6","Running",0,1,0,"https://github.com/googlesamples/android-play-safetynet/commit/e38ff00f011e0fcf0f95ad835fe6e8c03a6ce828"
"Android","googlesamples/android-play-billing",700092695,356,"NullPointerException when click image","closed","https://github.com/googlearchive/android-unsplash/issues/2","Running",0,1,0,"https://github.com/googlearchive/android-unsplash/pull/3/commits/3a7b22376d5ca903555792d0027e8177c143cd42"
"Android","googlesamples/android-play-billing",700091370,355,"ErrorFragment causes crash","closed","https://github.com/googlearchive/androidtv-Leanback/issues/53","Running",0,1,0,"https://github.com/googlearchive/androidtv-Leanback/commit/626f223d6d34abcf581bd7c09f225b9aba0ab3d1"
"Android","googlesamples/android-play-billing",626621140,312,"App crashes when pressing ""Capture"" - needs runtime permissions","closed","https://github.com/googlearchive/android-MediaRecorder/issues/25","Running",0,1,1,"https://github.com/googlearchive/android-MediaRecorder/commit/ae2185c3505ecd57ba9eac92311037ce619ac58a"
"Android","googlesamples/android-play-billing",612384055,308,"WebBasicSample fails at least on 4.0.4, 5.1.1 ","closed","https://github.com/android/testing-samples/issues/73","Running",0,1,1,"https://github.com/android/testing-samples/commit/7945ce63864516d6ef2f3e709d6c004699d0087d"
"Android","googlesamples/android-play-billing",594537685,293,"TrivialDriveKotlin: 'getColor(Int): Int' is deprecated. Deprecated in Java","closed","https://github.com/android/play-billing-samples/issues/356","Running",0,1,1,"https://github.com/android/play-billing-samples/commit/51e97690dd5343c2ab7970c0217e17cc177b7506"
"Android","googlesamples/android-play-billing",589621567,285,"Fatal exception when launching DirectBoot sample app","closed","https://github.com/googlearchive/android-DirectBoot/issues/2","Running",0,0,1,"https://github.com/googlearchive/android-DirectBoot/pull/3/commits/5637f1374fc1e353791e58e31c29c4d47a0af317"
"Android","googlesamples/android-play-billing",527773743,250,"ClassyTaxiJava: subscription.isAccountHold == null","closed","https://github.com/android/play-billing-samples/issues/308","Running",0,1,1,"https://github.com/android/play-billing-samples/commit/f73a18f7b601cae11d6aa42d0f4a922834d956aa"
"Android","googlesamples/android-play-billing",423956400,186,"sql injection vulnerability with content provider","closed","https://github.com/googlearchive/androidtv-Leanback/issues/134","Question",0,0,1,"https://github.com/googlearchive/androidtv-Leanback/commit/6c22e5a21fea2f25e5352ef94c5df5f3c1dbd227"
"Android","googlesamples/android-play-billing",370516538,163,"Android testing is failing with Bazel 2.0.0","closed","https://github.com/android/testing-samples/issues/303","Importing",0,0,1,"https://github.com/android/testing-samples/pull/309/files"
"Android","googlesamples/android-play-billing",240286781,64,"Fix Bazel incompatible changes","closed","https://github.com/android/testing-samples/issues/239","Improvement",0,0,1,"https://github.com/android/testing-samples/pull/274/files#diff-5493ff8e9397811510e780de47c57abb70137f1afe85d1519130dc3679d60ce5"
"Android","googlesamples/android-play-billing",128243074,5,"Bazel CI: Failing with Bazel on HEAD","closed","https://github.com/android/testing-samples/issues/224","Importing",0,0,1,"https://github.com/android/testing-samples/pull/225/commits/53bafff6a2ba7d5d65c8e70bff3064dd63e07507"
"Android","googlesamples/android-testdpc",117573760,2,"https://github.com/googlesamples/android-testing/pull/202 broke bazel CI","closed","https://github.com/android/testing-samples/issues/203","Importing",0,0,1,"https://github.com/android/testing-samples/pull/204/files"
"Android","googlesamples/androidtv-Leanback",287417059,107,"Request: allow to try sample without ""google-services.json"", to be able to test things without actually paying","closed","https://github.com/android/play-billing-samples/issues/171","Importing",0,0,1,"https://github.com/android/play-billing-samples/commit/bca6366a0bc34bf0ded661823fec8dd44c5468cf"
