framework,full_name
aws-samples,aws-samples/machinelearning-amazonai-amazontranscribe
aws-samples,aws-samples/single-use-signed-url
aws-samples,aws-samples/aws-glue-table-versions-cleanup-utility
aws-samples,aws-samples/api-gateway-auth
aws-samples,aws-samples/amazon-resilient-fix-engine-demo
aws-samples,aws-samples/aws-appconfig-java-sample
aws-samples,aws-samples/comprehend-logging-redact
aws-samples,aws-samples/kinesis-data-analytics-flink-aurora-sink
aws-samples,aws-samples/integrate-amazon-connect-with-smart-on-fhir-backend-services
aws-samples,aws-samples/sasl-scram-secrets-manager-client-for-msk
aws-samples,aws-samples/aws-saas-factory-eks-reference-architecture
aws-samples,aws-samples/aws-cdk-constructs-for-java
aws-samples,aws-samples/cookiecutter-aws-sam-powertools-java
aws-samples,aws-samples/aws-saas-factory-billing-and-metering-reference-implementation
aws-samples,aws-samples/amazon-keyspaces-large-object-s3-demo
aws-samples,aws-samples/amazon-transcribe-email-workflow
aws-samples,aws-samples/amazon-managed-blockchain-client-provision-with-cdk-java
aws-samples,aws-samples/selling-partner-api-bootstrap
aws-samples,aws-samples/jasper-reports-with-lambda-rds
aws-samples,aws-samples/amazon-keyspaces-examples
aws-samples,aws-samples/amazon-connect-collect-feedback-via-phone-ivr
aws-samples,aws-samples/immutable-server-pipeline
aws-samples,aws-samples/private-link-cross-account-access-for-msk
aws-samples,aws-samples/amazon-kinesis-video-streams-media-screencast-android
aws-samples,aws-samples/amazon-lex-twilio-voice-integration
aws-samples,aws-samples/kinesis-data-analytics-apache-flink-async-io
aws-samples,aws-samples/amazon-ecs-and-aws-step-functions-design-patterns-starter-kit
aws-samples,aws-samples/aws-amplify-android-simple-app
aws-samples,aws-samples/amazon-codeguru-samples
aws-samples,aws-samples/aws-athena-udfs-textanalytics
aws-samples,aws-samples/amazon-textract-comprehend-stepfunctions-example
aws-samples,aws-samples/amazon-keyspaces-java-driver-helpers
aws-samples,aws-samples/cdk-lambda-packaging-java
aws-samples,aws-samples/amazon-s3-object-lambda-decompression
aws-samples,aws-samples/skiresort-example-dynamodb-aws-sdk-v1
aws-samples,aws-samples/amazon-msk-java-app-cdk
aws-samples,aws-samples/sub-minute-lambda-executor
aws-samples,aws-samples/amazon-elasticache-redis-and-memcached-java-client-examples
aws-samples,aws-samples/amazon-sqs-message-attributes-starter-kit
aws-samples,aws-samples/amazon-sagemaker-feature-store-in-java
aws-samples,aws-samples/build-and-deploy-docker-images-to-aws-using-ec2-image-builder
aws-samples,aws-samples/i-love-my-local-farmer
aws-samples,aws-samples/amazon-msk-with-apache-kafka-streams-api
aws-samples,aws-samples/aws-serverless-stack-to-parse-apache-orc-files
aws-samples,aws-samples/bcs-disaster-recovery-portal-server
aws-samples,aws-samples/bcs-cloud-endure-common
aws-samples,aws-samples/bcs-cloud-endure-service
aws-samples,aws-samples/bcs-cloud-formation
aws-samples,aws-samples/bcs-disaster-recovery-portal-formation
aws-samples,aws-samples/bcs-disaster-recovery-portal-s3
aws-samples,aws-samples/bcs-disaster-recovery-portal-lambda-base
aws-samples,aws-samples/bcs-disaster-recovery-portal-cloud-endure
aws-samples,aws-samples/bcs-disaster-recovery-portal-lambda
aws-samples,aws-samples/bcs-disaster-recovery-portal-vpc
aws-samples,aws-samples/bcs-disaster-recovery-portal-dynamodb
aws-samples,aws-samples/bcs-disaster-recovery-portal-dynamodb-stream
aws-samples,aws-samples/bcs-disaster-recovery-portal-mysql-dump
aws-samples,aws-samples/amazon-keyspaces-spring-app-example
aws-samples,aws-samples/ecs-windows-ci-cd-blue-green
aws-samples,aws-samples/aws-amplify-example-recipe-app-react-native
aws-samples,aws-samples/aws-iot-job-agent-android
aws-samples,aws-samples/s3-parallel-move-with-filtering
aws-samples,aws-samples/aws-apprunner-terraform
aws-samples,aws-samples/graceful-shutdown-with-aws-lambda
aws-samples,aws-samples/aws-cdk-codeartifact-pipeline-sample
aws-samples,aws-samples/amazon-kinesis-data-analytics-apache-flink-server-sent-events-sse
aws-samples,aws-samples/aws-lambda-powertools-examples
aws-samples,aws-samples/aws-lambda-java-tiered-compilation-example
aws-samples,aws-samples/multi-environment-chatops-bot-for-controltower
aws-samples,aws-samples/flink-clickstream-processor-msk
aws-samples,aws-samples/amazon-ecs-cicd-cdk
aws-samples,aws-samples/java-sample-app
aws-samples,aws-samples/aws-cloudformation-stack-instances
aws-samples,aws-samples/aws-fargate-server-sent-events-sse-amazon-kinesis-data-streams
aws-samples,aws-samples/aws-redshift-udfs-textanalytics
aws-samples,aws-samples/java-spring-boot-ecs-fargate-redis-caching
aws-samples,aws-samples/aws-organizations-account-resource
aws-samples,aws-samples/aws-concurrent-provisioned-product
aws-samples,aws-samples/exporting-tool-for-amazon-keyspaces
aws-samples,aws-samples/amazon-s3-object-lambda-default-configuration
aws-samples,aws-samples/java-crud-microservice-template
aws-samples,aws-samples/aws-kcl-java
aws-samples,aws-samples/sns-dynamic-subscribers
aws-samples,aws-samples/aws-msk-cross-account-glue-schema-registry
aws-samples,aws-samples/amazon-pinpoint-urlshortener
aws-samples,aws-samples/amazon-redshift-devops-blog
aws-samples,aws-samples/azure-eventhub-consumer-with-dynamodb
aws-samples,aws-samples/cost-optimized-flink-on-kubernetes
aws-samples,aws-samples/aws-blog-observability-platform
aws-samples,aws-samples/aws-ecs-springboot-opentelemetry-sample
aws-samples,aws-samples/aws-kinesis-data-streams-replicator
aws-samples,aws-samples/aws-glue-schema-registry-examples
aws-samples,aws-samples/serverless-graalvm-demo
aws-samples,aws-samples/aws-appconfig-with-quarkus
aws-samples,aws-samples/aws-mq-network-of-brokers
aws-samples,aws-samples/amazon-codeguru-reviewer-java-detectors
aws-samples,aws-samples/polly-translate-realtime-speech-translator
aws-samples,aws-samples/amazon-s3-access-points-for-cross-account-integration-samples
aws-samples,aws-samples/flink-industrial-anomaly-detector
aws-samples,aws-samples/aws-mqtt-wavelength-latency
aws-samples,aws-samples/aws-sns-subscription-cleaner
aws-samples,aws-samples/aws-big-data-blog-transactional-to-stateful-batch-processing
aws-samples,aws-samples/amazon-appflow-custom-jdbc-connector
Azure-Samples,Azure-Samples/active-directory-android
Azure-Samples,Azure-Samples/storage-blob-java-getting-started
Azure-Samples,Azure-Samples/storage-table-java-getting-started
Azure-Samples,Azure-Samples/storage-queue-java-getting-started
Azure-Samples,Azure-Samples/documentdb-java-todo-app
Azure-Samples,Azure-Samples/storage-file-java-getting-started
Azure-Samples,Azure-Samples/search-java-getting-started
Azure-Samples,Azure-Samples/active-directory-java-webapp-openidconnect
Azure-Samples,Azure-Samples/app-service-api-apps-quickstart-java
Azure-Samples,Azure-Samples/hdinsight-storm-azure-data-lake-store
Azure-Samples,Azure-Samples/hdinsight-java-storm-wordcount
Azure-Samples,Azure-Samples/hdinsight-java-hive-jdbc
Azure-Samples,Azure-Samples/hdinsight-java-storm-eventhub
Azure-Samples,Azure-Samples/active-directory-android-native-oidcandroidlib-v2
Azure-Samples,Azure-Samples/compute-java-manage-vm
Azure-Samples,Azure-Samples/storage-java-manage-storage-accounts
Azure-Samples,Azure-Samples/network-java-manage-network-security-group
Azure-Samples,Azure-Samples/compute-java-list-vm-images
Azure-Samples,Azure-Samples/resources-java-manage-resource-group
Azure-Samples,Azure-Samples/resources-java-deploy-using-arm-template-with-progress
Azure-Samples,Azure-Samples/compute-java-manage-availability-sets
Azure-Samples,Azure-Samples/network-java-manage-virtual-network
Azure-Samples,Azure-Samples/network-java-manage-ip-address
Azure-Samples,Azure-Samples/resources-java-manage-resource
Azure-Samples,Azure-Samples/network-java-manage-network-interface
Azure-Samples,Azure-Samples/resources-java-deploy-using-arm-template
Azure-Samples,Azure-Samples/hdinsight-java-deploy-storm-topology
Azure-Samples,Azure-Samples/hdinsight-java-hive-udf
Azure-Samples,Azure-Samples/hdinsight-storm-java-kafka
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machines-in-parallel
Azure-Samples,Azure-Samples/batch-java-manage-batch-accounts
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machine-using-vm-extensions
Azure-Samples,Azure-Samples/compute-java-manage-virtual-machines-with-network-in-parallel
Azure-Samples,Azure-Samples/network-java-manage-internet-facing-load-balancers
