,author,framework
11698,hegayam,Azure
11699,mogorant,Azure
11700,omidm1,Azure
11705,hsrasheed,Azure
11777,akatesmith,Azure
11861,yorek,Azure
11985,suhuruli,Azure
12009,markjbrown,Azure
12036,m-reza-rahman,Azure
12169,helayoty,Azure
12213,agoncal,Azure
12215,emilianbold,Azure
12369,xgerman,Azure
12387,Buzzardo,Spring
12388,gregturn,Spring
12396,dsyer,Spring
12406,jxblum,Spring
12409,bclozel,Spring
12576,cbeams,Spring
12578,royclarkson,Spring
12641,nickstreet,Spring
12653,btalbott,Spring
12735,David-Noble-at-work,Azure
13304,snicoll,Spring
13475,marcingrzejszczak,Spring
13573,habuma,Spring
13760,joshlong,Spring
13771,thomsound,Spring
13772,KaranKhirsariya,Spring
13786,jzheaux,Spring
13805,rwinch,Spring
14167,mvitz,Spring
14205,Eternity-Yarr,Spring
14219,odrotbohm,Spring
14589,jgrandja,Spring
14599,zhoppy1,Spring
15002,openbl,Spring
15048,alexkon,Spring
15185,mhuisman,Spring
15186,spring-operator,Spring
15188,prmr,Spring
15554,martinlippert,Spring
15555,petrsponer,Spring
15741,rstoyanchev,Spring
15892,sdeleuze,Spring
16020,mp911de,Spring
16207,mdkhwajams,Spring
16208,elifarley,Spring
16301,maciejwalkowiak,Spring
16368,barecode,Spring
16404,mickilous,Spring
16411,neiljain,Spring
16448,pgrimard,Spring
16458,rkettelerij,Spring
16508,derTobsch,Spring
16527,augusto,Spring
16641,shadowmanos,Spring
17347,michalfotyga,Spring
17395,manonthemat,Spring
17887,sergiovlvitorino,Spring
18253,ZheSun88,Spring
18266,mstahv,Spring
18318,freducom,Spring
18321,trevormarshall,Spring
18323,OlgaMaciaszek,Spring
18325,ryanjbaxter,Spring
18327,fifthposition,Spring
18467,fhanik,Spring
18482,joaoandremartins,Spring
18610,gunayus,Spring
18831,rmcmurray,Spring
18953,Brutus5000,Spring
19074,elibixby,Android
19075,ludoch,Android
19076,tmatsuo,Android
19081,fredsa,Android
19106,lesv,Android
19107,Go-zz-ogle-zz-Clo-zz-udSolu-zz-tions,Android
19109,ravimadasu2007,Android
19121,rakyll,Android
19143,rnakhan,Android
19147,anguillanneuf,Android
19168,amygdala,Android
19304,dereksalama,Android
19395,dlorenc,Android
19408,abeisgoat,Android
19410,puf,Android
19414,jdimond,Android
19415,oalami,Android
19574,dturner,Android
19957,shailen,Android
20178,gainward,Android
20219,agangloff,Android
20226,yaraki,Android
20258,aliafshar,Android
20299,thagikura,Android
20387,naddaf,Android
20388,anaddaf,Android
20464,UdamSaini,Android
20478,donaldchai,Android
20488,telpirion,Android
20519,benbaxter,Android
20530,iaulakh,Azure
21095,artembilan,Spring
21152,andirdju,Spring
21236,ronriley,Spring
21308,igilham,Spring
21317,jvalkeal,Spring
21415,UgmaDevelopment,Spring
21489,CorainChicago,Spring
21612,tamaro-skaljic,Spring
21651,mminella,Spring
21752,mkheck,Spring
21999,jguomoto,Android
22002,chaosemer,Android
22008,r4ravi2008,Android
22436,brianduff,Android
22441,PaeP3nguin,Android
22534,tswast,Android
22537,sebastianbenz,Android
22544,PaulKinlan,Android
22558,grant,Android
22559,ryan-devrel,Android
22571,camaelon,Android
22574,jafu888,Android
22598,jkingyens,Android
22606,piotrek1543,Android
22616,ardock,Android
22638,maxme,Android
22643,ShreyashPromact,Android
22648,appoll,Android
22657,shchurov,Android
22663,alxrm,Android
22665,dimorinny,Android
22681,browncrane,Spring
22897,BasirAventuro,Spring
23407,spencergibb,Spring
23527,jsimonweb,Android
23544,brentwa,Android
23552,willum070,Android
23564,joannasmith,Android
23777,ericleich,Android
23779,rampara,Android
23781,RedBrogdon,Android
23789,tnsrz,Android
23836,chethaase,Android
23839,yigit,Android
23870,dongjing-github,Android
23901,vilisimo,Spring
24121,manoochehri,Android
24290,huynhducloi,Android
24664,dakegu2,Android
24665,keyvanamiri,Android
24789,pengying,Android
24870,romanofranz,Android
24877,Leo-Neat,Android
24900,dingram,Android
24901,nlativy,Android
24906,morganchen12,Android
24990,liuyl,Android
24992,pchx,Android
25004,DougSig,Android
25006,brdaugherty,Android
25008,cs-googler,Android
25012,swiyu,Android
25023,sheepmaster,Android
25100,keerthy411,AWS
25104,pfifer,AWS
25115,trenton,AWS
25154,khanshariquem,AWS
25156,KasulaVamsi,AWS
25158,yimuniao,AWS
25161,adam-aws,AWS
25183,antovespoli,AWS
25198,alexw91,AWS
25201,bbutch,AWS
25204,mithun008,AWS
25300,srchase,AWS
25318,shivaramani,AWS
25339,ConnorKirk,AWS
25370,makvac-aws,AWS
25419,keithaws,AWS
25467,adriaandejonge,AWS
25506,pchot,AWS
25512,fbouteruche,AWS
25513,dooreaga,AWS
25518,ijemmy,AWS
25528,melinaschweizer,AWS
25558,kreedula,Azure
25561,omercs,Azure
25562,georgewallace,Azure
25563,emgerner-msft,Azure
25580,martinsawicki,Azure
25686,sivethe,Azure
25691,schaabs,Azure
25693,fhokholdMSFT,Azure
25696,erikadoyle,Azure
25697,rapatchi,Azure
25706,kanshiG,Azure
25715,olduroja,Azure
25735,iscai-msft,Azure
25755,vidhoonv,Azure
25756,wesmc7777,Azure
25758,timtay-microsoft,Azure
25759,robinsh,Azure
25760,davilu,Azure
25763,prmathur-microsoft,Azure
25764,jasmineymlo,Azure
25771,ahamad-MS,Azure
25772,kalyanaj,Azure
25782,saragluna,Azure
25784,HeidiSteen,Azure
25815,giakas,Azure
25842,BrianBlum,Azure
25894,SomkaPe,Azure
25924,warrenzhu25,Azure
25930,ramsessanchez,Azure
25931,baywet,Azure
25943,kalyankrishna1,Azure
25948,shreyas-gopalakrishna,Azure
25950,amamounelsayed,Azure
25951,andxu,Azure
25954,Flanker32,Azure
25975,moderakh,Azure
26001,poanchen,Azure
26005,gansvv,Azure
26047,hildurhodd,Azure
26061,amendoza-msft,Azure
26062,Mrayyan,Azure
26063,LoadLibrary,Azure
26066,xumo-95,Azure
26071,ravithanneeru,Azure
26075,kagbakpem,Azure
26088,edburns,Azure
26161,AriZavala2,Azure
26575,ace-n,Android
26577,jrheizelman,Android
26608,ggfan,Android
26782,kpierzchalski,Android
26795,kyarosh,AWS
26800,mike-starr,AWS
26809,hanzx227,AWS
26810,gmudambi,AWS
26826,nalramli,AWS
26849,Helen1987,AWS
26850,yubangxi,AWS
26851,asaf-erlich,AWS
26854,suryanarayanan,AWS
26874,kumarrk21,AWS
26877,pkohan,AWS
26885,srikanth311,AWS
26894,butleragrant,AWS
26906,guyilin-amazon,AWS
26932,amzn-paunort,AWS
26938,allimn,AWS
26982,justing-bq,AWS
27028,simonz-bq,AWS
27066,saumehta9,AWS
27067,othonrsanchez,AWS
27074,danieledwardknudsen,AWS
27077,zhizhongk,AWS
27081,sachgo,AWS
27112,seebees,AWS
27123,mirelap-amazon,AWS
27136,gimki,AWS
27137,ivoanjo,AWS
27229,tiembo,Android
28742,mhopkins-msft,Azure
28743,tamram,Azure
28785,jihwang0709,Azure
28824,guanyu-240,Azure
28825,v-royhar,Azure
28831,kojiwms,Azure
28833,shonohs,Azure
28839,delfu,Azure
28844,Careyjmac,Azure
28850,seguler,Azure
28858,abbhar,Azure
28864,surnaik,Azure
28866,aim-for-better,Azure
28867,idear1203,Azure
28884,mandyshieh,Azure
28911,shahzaibj,Azure
28933,Om83,Azure
28946,leonard520,Azure
28951,JunyiYi,Azure
28952,metacpp,Azure
28959,xgugeng,Azure
28988,ggailey777,Azure
29001,WilliamHester,Android
29890,smswz,AWS
29903,farleyb-amazon,AWS
29904,texastony,AWS
29905,josecorella,AWS
29907,lavaleri,AWS
29922,lizroth,AWS
29926,MatthewBennington,AWS
29930,scottarc,AWS
29935,mattsb42-aws,AWS
29942,praddc,AWS
29970,ragona,AWS
30030,ajw-aws,AWS
31123,rban1,Azure
31154,bbridges,Azure
31171,zhengchang907,Azure
31202,pavelprystinka,Azure
31203,ahammer,Azure
31211,phileo99,Azure
31213,Gemakk,Azure
31221,lpx1989,Azure
31271,waynemo,Azure
31358,benas,Spring
31386,garyrussell,Spring
31561,eitanme,Android
31594,reznor,Android
31644,swapandeep,AWS
31651,virginiachu,AWS
31694,johnsta,Azure
31704,adesh-rao,Azure
31916,chrisbanes,Android
31922,lijingjiang,Android
31927,WeiHsinChen,Android
31928,dakegu,Android
31932,zhensunG,Android
32115,mimig1,Azure
32135,deborahc,Azure
32242,agektmr,Android
32250,qbradley,Azure
32291,mgoodridge,Android
