framework,path,current_version,next_version,framework_release_date (YYYY-DD-MM),sample_update_date (YYYY-DD-MM) ,delay_in_days
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.3.RELEASE,1.3.4.RELEASE,2016/06/05,2016/06/05,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.4.RELEASE,1.3.5.RELEASE,2016/10/05,2016/10/05,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.5.RELEASE,1.3.6.RELEASE,2016/04/07,2016/05/07,1
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.6.RELEASE,1.3.7.RELEASE,2016/28/07,2016/28/07,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.3.7.RELEASE,1.4.0.RELEASE,2016/28/07,2016/29/07,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.4.0.RELEASE,1.4.1.RELEASE,2016/21/09,2016/23/09,2
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.4.1.RELEASE,1.4.2.RELEASE,2016/08/11,2016/08/11,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.4.2.RELEASE,1.4.3.RELEASE,2016/23/12,2016/23/12,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.4.3.RELEASE,1.5.0.RELEASE,2017/30/01,2017/26/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.0.RELEASE,1.4.4.RELEASE,2017/26/01,2017/26/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.4.4.RELEASE,1.5.0.RELEASE,2017/30/01,2017/30/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.0.RELEASE,1.5.1.RELEASE,2017/30/01,2017/31/01,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.1.RELEASE,1.5.2.RELEASE,2017/03/03,2017/03/03,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.2.RELEASE,1.5.3.RELEASE,2017/21/04,2017/21/04,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.3.RELEASE,1.5.4.RELEASE,2017/08/06,2017/18/07,39
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.4.RELEASE,1.5.5.RELEASE,2017/26/07,2017/26/07,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.5.RELEASE,1.5.6.RELEASE,2017/27/07,2017/27/07,0
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.6.RELEASE,1.5.7.RELEASE,2017/12/09,2017/13/09,1
Spring,repositories/spring-guides/gs-spring-boot-docker/complete/pom.xml,1.5.7.RELEASE,1.5.8.RELEASE,2017/16/10,2017/17/10,1
