framework,path,version
spring,repositories/spring-guides/gs-actuator-service/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-accessing-vault/complete/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-accessing-vault/initial/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-accessing-neo4j-data-rest/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-accessing-neo4j-data-rest/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-accessing-gemfire-data-rest/complete/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-accessing-gemfire-data-rest/initial/pom.xml,2.2.1.RELEASE
spring,repositories/spring-guides/gs-accessing-data-neo4j/complete/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-accessing-data-neo4j/initial/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/gs-accessing-data-mongodb/complete/pom.xml,2.2.0.RELEASE
spring,repositories/spring-guides/gs-accessing-data-mongodb/initial/pom.xml,2.2.0.RELEASE
spring,repositories/spring-guides/tut-spring-boot-oauth2/logout/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/tut-spring-boot-oauth2/click/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/tut-spring-boot-oauth2/two-providers/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/tut-spring-boot-oauth2/custom-error/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/tut-spring-boot-oauth2/simple/pom.xml,2.2.2.RELEASE
spring,repositories/spring-guides/quoters/pom.xml,2.0.2.RELEASE
