framework,path,number_of_forks,forks_ahead,ratio
Android,googlesamples/android-play-places,635,4,0.006299212598425197
Android,googlesamples/android-AccelerometerPlay,75,5,0.06666666666666667
Android,googlesamples/android-play-awareness,22,0,0.0
Android,googlesamples/leanback-assistant,25,0,0.0
Android,googlesamples/android-play-safetynet,86,7,0.08139534883720931
Android,googlesamples/account-transfer-api,10,0,0.0
Android,googlesamples/android-SimpleMediaPlayer,101,6,0.0594059405940594
Android,googlesamples/android-fido,35,2,0.05714285714285714
Android,googlesamples/android-WearStandaloneGoogleSignIn,10,0,0.0
Android,googlesamples/android-WearOAuth,8,1,125
Android,googlesamples/android-unsplash,73,7,0.0958904109589041
Android,googlesamples/android-codelab-watchface,32,1,0.03125
Android,googlesamples/android-OurStreets,47,1,0.02127659574468085
Android,googlesamples/android-WearCompanionLibrary,19,1,0.05263157894736842
Android,googlesamples/android-gcmnetworkmanager,38,0,0.0
Android,googlesamples/identity-toolkit-android,39,1,0.02564102564102564
Android,googlesamples/android-WclDemoSample,13,0,0.0
Android,googlesamples/attendee-checkin,16,0,0.0
Android,googlesamples/android-play-games-in-motion,47,0,0.0
Android,googlesamples/androidtv-daydream,16,0,0.0
Android,googlesamples/androidtv-VisualGameController,19,0,0.0
Android,googlesamples/androidtv-GameController,24,1,0.041666666666666664
Android,googlesamples/android-google-accounts,31,0,0.0
