,framework,sample,watcher,watcher_repo
292527,googlearchive,googlearchive/android-BluetoothLeGatt,durgeshtrivedi,durgeshtrivedi/BluetoothLE
292637,googlearchive,googlearchive/android-BluetoothLeGatt,CCCCCoco,CCCCCoco/Android-RoadRollerUpper
292776,googlearchive,googlearchive/android-BluetoothLeGatt,l1d000,l1d000/AndroidBox
292777,googlearchive,googlearchive/android-BluetoothLeGatt,l1d000,l1d000/CurrentBLEGatt
292923,googlearchive,googlearchive/android-CustomChoiceList,Leekyuhwa,Leekyuhwa/android-CustomChoiceList-master
293076,googlearchive,googlearchive/android-CustomChoiceList,leerduo,leerduo/ImmersiveMode
293089,googlearchive,googlearchive/android-CustomChoiceList,leerduo,leerduo/MyDragLayout
293102,googlearchive,googlearchive/android-CustomChoiceList,leerduo,leerduo/OfficialSwipeRefreshLayout
293110,googlearchive,googlearchive/android-CustomChoiceList,leerduo,leerduo/RecyclerViewDemo
293121,googlearchive,googlearchive/android-CustomChoiceList,leerduo,leerduo/thinking
293195,googlearchive,googlearchive/android-CustomChoiceList,TonyTangAndroid,TonyTangAndroid/SlidingTabsBasic
293302,googlearchive,googlearchive/android-CustomChoiceList,morristech,morristech/coinbase-android
293357,googlearchive,googlearchive/android-CustomChoiceList,morristech,morristech/LOLCode
293367,googlearchive,googlearchive/android-CustomChoiceList,morristech,morristech/ModuleLoader
293486,googlearchive,googlearchive/android-CustomChoiceList,therajanmaurya,therajanmaurya/Networking-Tool
293622,googlearchive,googlearchive/android-HorizontalPaging,morristech,morristech/GapTap
295098,googlearchive,googlearchive/android-NetworkConnect,vmanja16,vmanja16/Ticker
295346,googlearchive,googlearchive/android-NetworkConnect,Anplus,Anplus/COMP4342
295493,googlearchive,googlearchive/android-StorageClient,morristech,morristech/ModuleLoader
296049,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,aaaliua,aaaliua/News-Material-Design
296051,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,aaaliua,aaaliua/project_open
296133,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,chentao0707,chentao0707/SimplifyReader
296181,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,shts,shts/KeyakiFeed
296183,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,shts,shts/NogiFeed
296196,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,ksy5662,ksy5662/abs_vpi
296214,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,pandabo1985,pandabo1985/OpenSource_Study
296275,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,morristech,morristech/coinbase-android
296330,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,morristech,morristech/LOLCode
296340,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,morristech,morristech/ModuleLoader
296418,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,eclipsegst,eclipsegst/we-tweet
296455,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,pranavlathigara,pranavlathigara/ACN-Android-Framework
296552,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,fuqiang915,fuqiang915/xkjdemos
296604,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,android-cjj,android-cjj/EasyView
296707,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,kingslou,kingslou/ItsNew
296757,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,jozn,jozn/iGap-Android
296900,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,jkYishon,jkYishon/android6.0
296910,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,HolenZhou,HolenZhou/PullRecyclerView
296956,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,hustjs,hustjs/AndroidPractice
297199,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,GinRyan,GinRyan/MySnippetRepo
297397,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,wgl0419,wgl0419/MarketTest
297398,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,wgl0419,wgl0419/myQQ_Android
297512,googlearchive,googlearchive/android-SwipeRefreshMultipleViews,Sogrey,Sogrey/SogreyLib
297731,googlearchive,googlearchive/android-BluetoothChat,morristech,morristech/ModuleLoader
297804,googlearchive,googlearchive/android-BluetoothChat,fanntone,fanntone/BluetoothChat
297933,googlearchive,googlearchive/android-BluetoothChat,afarber,afarber/android-questions
298042,googlearchive,googlearchive/android-BluetoothChat,BruceHurrican,BruceHurrican/studydemo
298497,googlearchive,googlearchive/android-BluetoothChat,xdtianyu,xdtianyu/android_2.3.5
298851,googlearchive,googlearchive/android-BluetoothChat,noirmist,noirmist/Bluetooth-Sensor-Transmitter
298856,googlearchive,googlearchive/android-BluetoothChat,ChenQingZhen,ChenQingZhen/BluetoothProj
298892,googlearchive,googlearchive/android-BluetoothChat,hustjs,hustjs/AndroidPractice
298901,googlearchive,googlearchive/android-BluetoothChat,xinyer,xinyer/blechat-lib
298979,googlearchive,googlearchive/android-BluetoothChat,prashant31191,prashant31191/Android-SqlLite
299129,googlearchive,googlearchive/android-BluetoothChat,AndroidWuXiang,AndroidWuXiang/BluetoothChat
299164,googlearchive,googlearchive/android-BluetoothChat,xielipeng,xielipeng/LearAndroid
299533,googlearchive,googlearchive/android-BluetoothChat,zhiaixinyang,zhiaixinyang/BlogStudy
299563,googlearchive,googlearchive/android-BluetoothChat,treason258,treason258/TreLibrary
299644,googlearchive,googlearchive/android-BluetoothChat,TonyTangAndroid,TonyTangAndroid/SlidingTabsBasic
299669,googlearchive,googlearchive/android-BluetoothChat,nitesh2104,nitesh2104/DataDashboard
299716,googlearchive,googlearchive/android-BluetoothChat,rookielord,rookielord/TestProject
299802,googlearchive,googlearchive/android-BluetoothChat,raghunandankavi2010,raghunandankavi2010/SamplesAndroid
300154,googlearchive,googlearchive/android-BluetoothChat,akashjpro,akashjpro/TestBluetooth
300419,googlearchive,googlearchive/android-BluetoothChat,narakai,narakai/ConstraintLayoutExamples
300744,googlearchive,googlearchive/android-BluetoothChat,CristianoLi,CristianoLi/BluetoothTest
300835,googlearchive,googlearchive/android-BluetoothChat,dk000000000,dk000000000/Veeb
301041,googlearchive,googlearchive/android-BluetoothChat,ZHBoy,ZHBoy/bluetooth
301074,googlearchive,googlearchive/android-BluetoothChat,gin-cc,gin-cc/HeartRate
301123,googlearchive,googlearchive/android-BluetoothChat,djoly42,djoly42/android-chat-bluetooth
301124,googlearchive,googlearchive/android-BluetoothChat,djoly42,djoly42/car-android-app-panel
301127,googlearchive,googlearchive/android-BluetoothChat,djoly42,djoly42/road-sign-detection
301152,googlearchive,googlearchive/android-BluetoothChat,konatsup,konatsup/AndroidRPG
301249,googlearchive,googlearchive/android-BluetoothChat,liuzhao1006,liuzhao1006/Bluetoothss
301387,googlearchive,googlearchive/android-BluetoothChat,cereuz,cereuz/android-BluetoothChat
301411,googlearchive,googlearchive/android-BluetoothChat,Traceless2016,Traceless2016/BluetoothCarDemo
301678,googlearchive,googlearchive/android-BluetoothChat,hendrawd,hendrawd/drag-fast-scroller-test
301705,googlearchive,googlearchive/android-BluetoothChat,bloomlj,bloomlj/wildrobot
301736,googlearchive,googlearchive/android-BluetoothChat,taynanbonaldo,taynanbonaldo/WrappedBluetoothMessage
301830,googlearchive,googlearchive/android-BluetoothChat,MrXiong,MrXiong/BluetoothChat
301842,googlearchive,googlearchive/android-BluetoothChat,MrXiong,MrXiong/ISocket
301893,googlearchive,googlearchive/android-BluetoothChat,xsthunder,xsthunder/dog-watcher-dog
301894,googlearchive,googlearchive/android-BluetoothChat,xsthunder,xsthunder/dog-watcher-owner
301911,googlearchive,googlearchive/android-BluetoothChat,manniru,manniru/IGRWalletPrinter
302336,googlearchive,googlearchive/android-BluetoothChat,samfoucart,samfoucart/BluetoothConnectionDemo
302338,googlearchive,googlearchive/android-BluetoothChat,samfoucart,samfoucart/oueecs_SpectralDataViewer
302419,googlearchive,googlearchive/android-BluetoothChat,zhu-dev,zhu-dev/ClassicBluetooth
302445,googlearchive,googlearchive/android-BluetoothChat,vlzware,vlzware/AKAD_BEDEN
302589,googlearchive,googlearchive/android-BluetoothChat,weimingtom,weimingtom/ohwada
302871,googlearchive,googlearchive/android-BluetoothChat,why2,why2/bluetooth
303438,googlearchive,googlearchive/android-DrawableTinting,morristech,morristech/ModuleLoader
303497,googlearchive,googlearchive/android-DrawableTinting,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
303501,googlearchive,googlearchive/android-DrawableTinting,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
303584,googlearchive,googlearchive/android-DrawableTinting,subinkrishna,subinkrishna/SlidingTabsBasicSample
303944,googlearchive,googlearchive/android-AppRestrictionSchema,morristech,morristech/ModuleLoader
304003,googlearchive,googlearchive/android-AppRestrictionSchema,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
304007,googlearchive,googlearchive/android-AppRestrictionSchema,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
305558,googlearchive,googlearchive/android-MessagingService,prashant31191,prashant31191/tcpip-android
305954,googlearchive,googlearchive/android-MessagingService,andrewpedia,andrewpedia/android-MessagingService
306640,googlearchive,googlearchive/android-nearby,pjwelcome,pjwelcome/GDGBeacons
306729,googlearchive,googlearchive/android-nearby,twhetzel,twhetzel/android-nearby
307052,googlearchive,googlearchive/android-nearby,adithya321,adithya321/Nearby-Playground
307716,googlearchive,googlearchive/android-nearby,daviek19,daviek19/connections
307782,googlearchive,googlearchive/android-nearby,m3ftah,m3ftah/NearbyTest
307828,googlearchive,googlearchive/android-nearby,zossli,zossli/nearby-sender
308503,googlearchive,googlearchive/android-nearby,ConnerV42,ConnerV42/wifi-direct-android-communication
308526,googlearchive,googlearchive/android-nearby,andresgarbio,andresgarbio/Smokio
308527,googlearchive,googlearchive/android-nearby,andresgarbio,andresgarbio/Smokio-user
308677,googlearchive,googlearchive/android-BeamLargeFiles,morristech,morristech/ModuleLoader
308740,googlearchive,googlearchive/android-BeamLargeFiles,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
308744,googlearchive,googlearchive/android-BeamLargeFiles,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
309076,googlearchive,googlearchive/android-BeamLargeFiles,JoshuaWongCHN,JoshuaWongCHN/DragAndDropDemo
309940,googlearchive,googlearchive/android-BluetoothAdvertisements,rogerlsmith,rogerlsmith/BluetoothAdvertisements
310210,googlearchive,googlearchive/android-BluetoothAdvertisements,itanbp,itanbp/android-ble-peripheral-central
312018,googlearchive,googlearchive/android-FingerprintDialog,wangxiongtao,wangxiongtao/Dawn
312151,googlearchive,googlearchive/android-FingerprintDialog,kylecheng3146,kylecheng3146/Whot
313584,googlearchive,googlearchive/android-FingerprintDialog,Sogrey,Sogrey/TSD
313893,googlearchive,googlearchive/android-FingerprintDialog,Ritesh-Kumar-4946,Ritesh-Kumar-4946/cairodock
313987,googlearchive,googlearchive/android-FingerprintDialog,yangfeng1994,yangfeng1994/Android-FingerprintVerify
314011,googlearchive,googlearchive/android-FingerprintDialog,AdamDomagalsky,AdamDomagalsky/keePassFingerPrint
316852,googlearchive,googlearchive/android-RuntimePermissions,YTXQOX,YTXQOX/QRCode
318367,googlearchive,googlearchive/android-RuntimePermissions,liqy,liqy/QRCodeApp
318953,googlearchive,googlearchive/android-RuntimePermissions,firefly1126,firefly1126/android_permission_aspectjx
319168,googlearchive,googlearchive/android-RuntimePermissions,yixiaolunhui,yixiaolunhui/AndroidScanQRcode
319276,googlearchive,googlearchive/android-RuntimePermissions,GinRyan,GinRyan/DakraZxing
319504,googlearchive,googlearchive/android-RuntimePermissions,hustjs,hustjs/PermissionRequestDemo
319643,googlearchive,googlearchive/android-RuntimePermissions,wzqjava,wzqjava/WzqTest
321764,googlearchive,googlearchive/android-RuntimePermissions,HotBloodMan,HotBloodMan/First
322804,googlearchive,googlearchive/android-RuntimePermissions,Coder-DanielHan,Coder-DanielHan/AndroidTrainingSample
323141,googlearchive,googlearchive/android-RuntimePermissions,shuijilove,shuijilove/ZXingCodeDemo
323523,googlearchive,googlearchive/android-RuntimePermissions,wangrling,wangrling/approjects
324366,googlearchive,googlearchive/android-ActiveNotifications,raghunandankavi2010,raghunandankavi2010/SamplesAndroid
324372,googlearchive,googlearchive/android-ActiveNotifications,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
324376,googlearchive,googlearchive/android-ActiveNotifications,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
324502,googlearchive,googlearchive/android-ActiveNotifications,subinkrishna,subinkrishna/SlidingTabsBasicSample
324978,googlearchive,googlearchive/android-ActiveNotifications,morristech,morristech/ModuleLoader
325417,googlearchive,googlearchive/android-ActiveNotifications,hzh-romens,hzh-romens/Health
326140,googlearchive,googlearchive/android-DirectShare,Piashsarker,Piashsarker/DirectShareForMarshmallow
326309,googlearchive,googlearchive/android-DirectShare,mohanrajsambath,mohanrajsambath/android-DirectShare-1
326622,googlearchive,googlearchive/android-MidiSynth,philburk,philburk/android-midisuite
326665,googlearchive,googlearchive/android-MidiSynth,kshoji,kshoji/Android-MIDI-API-backports
327240,googlearchive,googlearchive/android-AsymmetricFingerprintDialog,MaTriXy,MaTriXy/AuthenticationExample
327940,googlearchive,googlearchive/android-AsymmetricFingerprintDialog,caojunJackson,caojunJackson/LockLibs
327954,googlearchive,googlearchive/android-AsymmetricFingerprintDialog,siddeshpillai,siddeshpillai/background-service
328064,googlearchive,googlearchive/android-AsymmetricFingerprintDialog,goghtsui,goghtsui/GankTea
328375,googlearchive,googlearchive/android-AsymmetricFingerprintDialog,Ritesh-Kumar-4946,Ritesh-Kumar-4946/cairodock
329225,googlearchive,googlearchive/android-MultiWindowPlayground,subinkrishna,subinkrishna/SlidingTabsBasicSample
329538,googlearchive,googlearchive/android-MultiWindowPlayground,leerduo,leerduo/ImmersiveMode
329564,googlearchive,googlearchive/android-MultiWindowPlayground,leerduo,leerduo/OfficialSwipeRefreshLayout
329583,googlearchive,googlearchive/android-MultiWindowPlayground,leerduo,leerduo/thinking
329654,googlearchive,googlearchive/android-MultiWindowPlayground,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
329658,googlearchive,googlearchive/android-MultiWindowPlayground,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
330364,googlearchive,googlearchive/android-MultiWindowPlayground,androidmalin,androidmalin/DisplayingBitmaps
330496,googlearchive,googlearchive/android-MultiWindowPlayground,prashant31191,prashant31191/Android-SqlLite
330768,googlearchive,googlearchive/android-MultiWindowPlayground,morristech,morristech/ModuleLoader
331198,googlearchive,googlearchive/android-MultiWindowPlayground,Loic83,Loic83/multiWindow-Api24
331284,googlearchive,googlearchive/android-MultiWindowPlayground,hzh-romens,hzh-romens/Health
331805,googlearchive,googlearchive/android-MultiWindowPlayground,xiaoyangperfect,xiaoyangperfect/DisplayingBitmaps
333366,googlearchive,googlearchive/android-play-awareness,morristech,morristech/ModuleLoader
333849,googlearchive,googlearchive/android-AccelerometerPlay,garrettwong,garrettwong/Android-BallSim
333851,googlearchive,googlearchive/android-AccelerometerPlay,garrettwong,garrettwong/Android_PenguinFeeder
333991,googlearchive,googlearchive/android-AccelerometerPlay,myrao,myrao/SensorDemo
335888,googlearchive,googlearchive/android-AppShortcuts,JasonZhu19910601,JasonZhu19910601/MyAppShortcuts
336617,googlearchive,googlearchive/android-ShareActionProvider,bellatrix007,bellatrix007/Document-Organizer
340786,googlearchive,googlearchive/android-fit,morristech,morristech/ModuleLoader
341167,googlearchive,googlearchive/android-fit,simonkamronn,simonkamronn/FitnessAPI-Examples
341552,googlearchive,googlearchive/android-fit,yangjae,yangjae/android-ui
341657,googlearchive,googlearchive/android-fit,scottyab,scottyab/androidkeystore
341689,googlearchive,googlearchive/android-fit,deercoder,deercoder/GoogleFitDemo
341806,googlearchive,googlearchive/android-fit,jeffrey-garcia,jeffrey-garcia/wearable-fitness
342153,googlearchive,googlearchive/android-fit,SnackKing,SnackKing/FitnessTracker
342378,googlearchive,googlearchive/android-fit,Seo-GwangHyeon,Seo-GwangHyeon/InvisibleMirror
342617,googlearchive,googlearchive/android-MediaRecorder,yinghuihong,yinghuihong/MediaRecorder
343154,googlearchive,googlearchive/android-MediaRecorder,PopTudor,PopTudor/SweetCamera
343374,googlearchive,googlearchive/android-MediaRecorder,Deepblue1996,Deepblue1996/DaDaRecord
343525,googlearchive,googlearchive/android-MediaRecorder,liuq96,liuq96/MediaLearn
343582,googlearchive,googlearchive/android-MediaRecorder,mikelhpdatke,mikelhpdatke/AndroidRecorder
344962,googlearchive,googlearchive/android-ads,sahujaunpuri,sahujaunpuri/ad-mobmediation
344964,googlearchive,googlearchive/android-ads,sahujaunpuri,sahujaunpuri/admob
344966,googlearchive,googlearchive/android-ads,sahujaunpuri,sahujaunpuri/android-ad-mediation
345082,googlearchive,googlearchive/android-ads,gochi300,gochi300/AndroidRecyclerViewBannerAdsDemo
345083,googlearchive,googlearchive/android-ads,gochi300,gochi300/AndroidRecyclerViewNativeAdsDemo
345114,googlearchive,googlearchive/android-ads,narakai,narakai/ImpressLetters
346227,googlearchive,googlearchive/android-DragAndDropAcrossApps,morristech,morristech/ModuleLoader
346353,googlearchive,googlearchive/android-DragAndDropAcrossApps,JoshuaWongCHN,JoshuaWongCHN/DragAndDropDemo
353810,googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/FirebaseAll
353840,googlearchive,googlearchive/android-PictureInPicture,prashant31191,prashant31191/NewSample-2017
354696,googlearchive,googlearchive/android-PictureInPicture,ckwcc,ckwcc/App-Architecture
354709,googlearchive,googlearchive/android-PictureInPicture,ckwcc,ckwcc/PictureInPicture
355954,googlearchive,googlearchive/android-PictureInPicture,zhangwenhaojf40,zhangwenhaojf40/GoogleSample
362205,googlearchive,googlearchive/android-EmojiCompat,KobeBryant824,KobeBryant824/MaterialDesignWidget
362227,googlearchive,googlearchive/android-EmojiCompat,zetingzhu,zetingzhu/AppFrame3
362280,googlearchive,googlearchive/android-EmojiCompat,lsjwzh,lsjwzh/DownloadableFontsProvider
362712,googlearchive,googlearchive/android-EmojiCompat,clwater,clwater/EmojiKeyboard
370485,googlearchive,googlearchive/android-ElevationDrag,morristech,morristech/ModuleLoader
370674,googlearchive,googlearchive/android-ElevationDrag,baoyongzhang,baoyongzhang/BeanPaste
370783,googlearchive,googlearchive/android-ElevationDrag,xiaomaguoguo,xiaomaguoguo/android-DisplayingBitmaps
370787,googlearchive,googlearchive/android-ElevationDrag,xiaomaguoguo,xiaomaguoguo/CustomRecycleview
370902,googlearchive,googlearchive/android-ElevationDrag,subinkrishna,subinkrishna/SlidingTabsBasicSample
371140,googlearchive,googlearchive/android-ElevationDrag,tslxt,tslxt/Time-Card
371324,googlearchive,googlearchive/android-ActivityInstrumentation,morristech,morristech/ModuleLoader
371800,googlearchive,googlearchive/android-CardEmulation,morristech,morristech/ModuleLoader
371939,googlearchive,googlearchive/android-CardEmulation,marti4ka,marti4ka/glowing-umbrella
372236,googlearchive,googlearchive/android-CardEmulation,alcarl,alcarl/nfcproxy
372363,googlearchive,googlearchive/android-CardEmulation,dmitrykolesnikovich,dmitrykolesnikovich/android-samples
372619,googlearchive,googlearchive/android-SwipeRefreshLayoutBasic,qishi604,qishi604/SupportDesignDemo
372653,googlearchive,googlearchive/android-SwipeRefreshLayoutBasic,cnlinrong,cnlinrong/fast-dev-platform-android
372728,googlearchive,googlearchive/android-SwipeRefreshLayoutBasic,pranavlathigara,pranavlathigara/ACN-Android-Framework
373446,googlearchive,googlearchive/android-credentials,tasomaniac,tasomaniac/IntegrationPreference
373505,googlearchive,googlearchive/android-credentials,niravshah,niravshah/takeout-ninja
373572,googlearchive,googlearchive/android-credentials,plusCubed,plusCubed/matlog
373793,googlearchive,googlearchive/android-credentials,pranavlathigara,pranavlathigara/Android-3
374083,googlearchive,googlearchive/android-credentials,morristech,morristech/Android-OCR
374233,googlearchive,googlearchive/android-credentials,morristech,morristech/Time-partner
374256,googlearchive,googlearchive/android-credentials,thucld,thucld/Choukai-Tasuku
374426,googlearchive,googlearchive/android-credentials,LastSocialDroid2,LastSocialDroid2/MapTest
374712,googlearchive,googlearchive/android-MidiScope,philburk,philburk/android-midisuite
