,framework,sample,watcher,watcher_repo
145055,googlesamples,googlesamples/android-vision,dineshrijal119,dineshrijal119/SctNetworkAlpha
145628,googlesamples,googlesamples/android-vision,VAdaihiep,VAdaihiep/FitCropAndroidVision
145999,googlesamples,googlesamples/android-vision,Hydrog3n,Hydrog3n/ProductFinding-Android
146215,googlesamples,googlesamples/android-vision,TonyTangAndroid,TonyTangAndroid/GoogleMobileVisionDemo
146315,googlesamples,googlesamples/android-vision,betri28,betri28/FaceDetectCamera
146567,googlesamples,googlesamples/android-vision,IsabelPalomar,IsabelPalomar/android-mobile-vision
146844,googlesamples,googlesamples/android-vision,JavonDavis,JavonDavis/Lab-Assistant
146849,googlesamples,googlesamples/android-vision,JavonDavis,JavonDavis/Play-Services-Demo
146991,googlesamples,googlesamples/android-vision,ztickm,ztickm/Leexy_App_dev
147358,googlesamples,googlesamples/android-vision,kim-yeonjung,kim-yeonjung/toy_project
147442,googlesamples,googlesamples/android-vision,NilanjanDaw,NilanjanDaw/ViewFinder
147519,googlesamples,googlesamples/android-vision,williammlu,williammlu/ddoskify
147558,googlesamples,googlesamples/android-vision,omar-adel,omar-adel/AndroidNanoDegreeProject3
147842,googlesamples,googlesamples/android-vision,wmcalyj,wmcalyj/Eash-Tracking
147891,googlesamples,googlesamples/android-vision,ChinaVolvocars,ChinaVolvocars/AndroidAPIDemos
148037,googlesamples,googlesamples/android-vision,pumatus,pumatus/visionface
148045,googlesamples,googlesamples/android-vision,MohammadSharif,MohammadSharif/Translatte
148308,googlesamples,googlesamples/android-vision,cluelin,cluelin/BarcodeScannerApp
148339,googlesamples,googlesamples/android-vision,mohanrajsambath,mohanrajsambath/DroidRepos
148485,googlesamples,googlesamples/android-vision,bchipman,bchipman/WaferNavApp
148551,googlesamples,googlesamples/android-vision,MikeBarannikov,MikeBarannikov/CrazyQrBarCode
148652,googlesamples,googlesamples/android-vision,nalancer08,nalancer08/Mobile-Computer-Vision
148890,googlesamples,googlesamples/android-vision,Rivenlalala,Rivenlalala/Scan-and-Call
148940,googlesamples,googlesamples/android-vision,parakrama1995,parakrama1995/barcode-reader
148941,googlesamples,googlesamples/android-vision,parakrama1995,parakrama1995/photo-demo
148995,googlesamples,googlesamples/android-vision,victoraldir,victoraldir/BuddyBook
149012,googlesamples,googlesamples/android-vision,victoraldir,victoraldir/StaffClock
149020,googlesamples,googlesamples/android-vision,TylerMcCraw,TylerMcCraw/android-udacity-superduo
149798,googlesamples,googlesamples/android-vision,AhmedNTS,AhmedNTS/GoogleVisionTest
149825,googlesamples,googlesamples/android-vision,IvanShafran,IvanShafran/emotion-control-game-prototype
149827,googlesamples,googlesamples/android-vision,IvanShafran,IvanShafran/local-hack-day-2018-nyan-smile
150346,googlesamples,googlesamples/android-vision,teshi04,teshi04/BookSearchScan
150758,googlesamples,googlesamples/android-vision,jaisonfdo,jaisonfdo/MlKitBarcodeScan
150759,googlesamples,googlesamples/android-vision,jaisonfdo,jaisonfdo/MLkitFaceDetector
150832,googlesamples,googlesamples/android-vision,junsuk5,junsuk5/FlirOneCamera_lecture
150833,googlesamples,googlesamples/android-vision,junsuk5,junsuk5/Hello
150904,googlesamples,googlesamples/android-vision,aliumujib,aliumujib/BarcodeVisionAPISample
150965,googlesamples,googlesamples/android-vision,IefVandepitte,IefVandepitte/ReadText
151002,googlesamples,googlesamples/android-vision,josephv7,josephv7/ML_Kit_Custom_Model
151077,googlesamples,googlesamples/android-vision,deehidayat,deehidayat/react-native-ocr-reader
151142,googlesamples,googlesamples/android-vision,sssaikia,sssaikia/Ratings
151228,googlesamples,googlesamples/android-vision,aaroncrutchfield,aaroncrutchfield/barcode-reader
151389,googlesamples,googlesamples/android-vision,FilipeLipan,FilipeLipan/AndroidMlKitDemo
151429,googlesamples,googlesamples/android-vision,mykms,mykms/ScannerApp
151634,googlesamples,googlesamples/android-vision,Seopftware,Seopftware/Android_FundMyTravel
151692,googlesamples,googlesamples/android-vision,waeladel,waeladel/KissAlarm
151969,googlesamples,googlesamples/android-vision,chimkontran,chimkontran/FaceTracker
152072,googlesamples,googlesamples/android-vision,Kevin-Mok,Kevin-Mok/ParsaFood
152122,googlesamples,googlesamples/android-vision,NoahSchaub,NoahSchaub/Rezepteverwaltung
152123,googlesamples,googlesamples/android-vision,NoahSchaub,NoahSchaub/Rezepteverwaltung_2
152291,googlesamples,googlesamples/android-vision,RajPrabhakar,RajPrabhakar/Pointer
152328,googlesamples,googlesamples/android-vision,TWJessieChen,TWJessieChen/Camera1Camera2Combined
152329,googlesamples,googlesamples/android-vision,TWJessieChen,TWJessieChen/CameraMediacodec
152359,googlesamples,googlesamples/android-vision,rohan23chhabra,rohan23chhabra/Oculus-Apertor
152384,googlesamples,googlesamples/android-vision,csanjeev25,csanjeev25/SafeDrive
152454,googlesamples,googlesamples/android-vision,tssA8,tssA8/camerawithGoogleVisionApi
152642,googlesamples,googlesamples/android-vision,kolibreath,kolibreath/JoinMe
152728,googlesamples,googlesamples/android-vision,shakram02,shakram02/QRra2
152971,googlesamples,googlesamples/android-vision,kengshing,kengshing/BarcodeReader
153023,googlesamples,googlesamples/android-vision,marabesi,marabesi/android-playground
153531,googlesamples,googlesamples/android-vision,Sunilpore,Sunilpore/QR-Code-Scanner
153714,googlesamples,googlesamples/android-vision,ajeet-repos,ajeet-repos/TextDetectioUsingMLKit
153936,googlesamples,googlesamples/android-vision,tortuvshin,tortuvshin/safety-inst
154015,googlesamples,googlesamples/android-vision,etman55,etman55/FaceDetectionSampleApp
154058,googlesamples,googlesamples/android-vision,shakil1994,shakil1994/AndroidApp-FaceDetect
154157,googlesamples,googlesamples/android-vision,Zgorbell,Zgorbell/BusinessCardReader
154196,googlesamples,googlesamples/android-vision,AndroiDjo,AndroiDjo/QueryRobot
154285,googlesamples,googlesamples/android-vision,Codypinto23,Codypinto23/GoogleMLScanner
154295,googlesamples,googlesamples/android-vision,createS0ftware,createS0ftware/Ocr_Barcode_google
154298,googlesamples,googlesamples/android-vision,HomerAria,HomerAria/androidDemo
154446,googlesamples,googlesamples/android-vision,jmpaucarm,jmpaucarm/MienriaDeDatosAPP
154795,googlesamples,googlesamples/android-vision,MH3sham,MH3sham/Siege-Scanner
154998,googlesamples,googlesamples/android-vision,HamiciRyadh,HamiciRyadh/PFE
155091,googlesamples,googlesamples/android-vision,Udayraj123,Udayraj123/VehicleInfoOCR
155232,googlesamples,googlesamples/android-vision,DenWhiteHouse,DenWhiteHouse/FaceDetector
155278,googlesamples,googlesamples/android-vision,PierceLBrooks,PierceLBrooks/Facialoid
155541,googlesamples,googlesamples/android-vision,wgdzlh,wgdzlh/face-emotion-recognize-android-app
155631,googlesamples,googlesamples/android-vision,chinaltz,chinaltz/ScanUtils
155705,googlesamples,googlesamples/android-vision,segunfrancis,segunfrancis/MLKitCodelab
155707,googlesamples,googlesamples/android-vision,segunfrancis,segunfrancis/MultiTextReader
155819,googlesamples,googlesamples/android-vision,cyysky,cyysky/VisitorRecordBook
155977,googlesamples,googlesamples/android-vision,tuancuong736,tuancuong736/android2-project
156077,googlesamples,googlesamples/android-vision,JianfeiMa,JianfeiMa/BuyupMLScan
156272,googlesamples,googlesamples/android-vision,abidjamil,abidjamil/OCRExample
156276,googlesamples,googlesamples/android-vision,abidjamil,abidjamil/VSIS
156433,googlesamples,googlesamples/android-vision,sohamsalkar,sohamsalkar/Barcode-food-expiry
159962,spring-guides,spring-guides/gs-uploading-files,chertpong,chertpong/example-for-boss
159970,spring-guides,spring-guides/gs-uploading-files,chertpong,chertpong/spring-central-service
160089,spring-guides,spring-guides/gs-uploading-files,TonyNYL,TonyNYL/hero
160135,spring-guides,spring-guides/gs-uploading-files,TopekoX,TopekoX/spring-boot-file-upload
160539,spring-guides,spring-guides/gs-uploading-files,zbw322092,zbw322092/static-file-server
160569,spring-guides,spring-guides/gs-uploading-files,lagab,lagab/springboot-boilerplate
160648,spring-guides,spring-guides/gs-uploading-files,marstalk,marstalk/hw
161102,spring-guides,spring-guides/gs-uploading-files,davigotxi,davigotxi/spring-files-uploader
161223,spring-guides,spring-guides/gs-uploading-files,Harry29-exe,Harry29-exe/Car_Forum
161456,spring-guides,spring-guides/gs-uploading-files,hwanseok-dev,hwanseok-dev/hwanseok-dev-cookbook-old
161500,spring-guides,spring-guides/gs-uploading-files,ksh24865,ksh24865/spring-study
161611,spring-guides,spring-guides/gs-uploading-files,phuduy1999,phuduy1999/rookie-spring-boot-ecommerce
161942,spring-guides,spring-guides/gs-accessing-data-neo4j,chendaye,chendaye/Neo4j
162237,spring-guides,spring-guides/gs-batch-processing,pearlisme,pearlisme/SpringBatch
162677,spring-guides,spring-guides/gs-batch-processing,yetsun,yetsun/batch-processing
162721,spring-guides,spring-guides/gs-batch-processing,florentbo,florentbo/spring-boot-batch-jpa-bug
162862,spring-guides,spring-guides/gs-batch-processing,medkhabt,medkhabt/TpsArchitectureLogicielle
