"framework","repository","forks","diskUsage_KB","stargazers","watchers","issues","commits","pullRequests","updatedAt","projects"
"Android","eowise/recyclerview-stickyheaders",157,77494,978,46,48,92,7,"2019-06-13T04:43:04Z",0
"Android","dsandler/markers",59,1685,165,25,7,220,4,"2019-06-27T20:36:24Z",0
"Android","getsentry/sentry-java",247,6121,451,54,413,2126,313,"2019-06-27T14:22:37Z",0
"Android","cachapa/ExpandableLayout",203,3826,1625,43,65,87,11,"2019-06-30T18:17:11Z",0
"Android","koral--/android-gif-drawable",1561,5742,7465,281,556,1040,105,"2019-07-01T22:11:33Z",0
"Android","easymock/easymock",247,9782,575,65,211,941,34,"2019-06-30T00:08:03Z",0
"Android","fornana/swipeitemlayout",82,340,216,5,10,18,0,"2019-06-26T02:02:22Z",0
"Android","fossasia/open-event-organizer-android",240,45502,950,19,891,868,874,"2019-07-01T14:19:12Z",0
"Android","vector-im/riot-android",360,890968,1019,87,2364,7316,828,"2019-07-01T13:53:29Z",2
"Android","dlazaro66/QRCodeReaderView",437,3667,1654,74,138,142,34,"2019-07-01T09:30:37Z",0
"Android","iamMehedi/Secured-Preference-Store",86,204,529,19,37,79,15,"2019-06-26T09:25:55Z",0
"Android","slymax/webview",259,96,337,62,0,14,4,"2019-06-29T17:27:37Z",0
"Android","WellingtonCosta/convalida",19,555,187,6,32,271,17,"2019-06-21T09:40:50Z",0
"Android","chariotsolutions/phonegap-nfc",284,1213,513,52,291,510,76,"2019-07-01T09:48:08Z",0
"Android","xiangtailiang/FakeGPS",74,8257,251,12,11,28,2,"2019-07-01T16:32:00Z",0
"Android","Cleveroad/FireworkyPullToRefresh",102,6138,632,20,7,83,8,"2019-06-28T01:18:06Z",0
"Android","razerdp/FriendCircle",193,2360,1079,45,56,424,34,"2019-07-02T00:54:10Z",0
"Android","aliumujib/Nibo",55,4917,153,8,19,79,7,"2019-06-25T15:16:30Z",0
"Android","traex/RippleEffect",1133,833,4871,204,113,110,29,"2019-06-27T12:12:33Z",0
"Android","tianzhijiexian/DBinding",57,2910,460,26,11,29,0,"2019-04-19T06:10:16Z",0
"Android","gzsll/WebViewJavascriptBridge",40,110,174,5,15,12,0,"2019-07-01T14:33:59Z",0
"Android","amilcar-sr/JustifiedTextView",32,284,243,9,7,87,4,"2019-06-28T10:23:24Z",0
"Android","dingjibang/GDX-RPG",53,176901,179,35,20,1008,3,"2019-06-25T08:19:23Z",0
"Android","ihsanbal/Wiv",28,8537,199,7,2,11,0,"2019-06-21T02:30:47Z",0
"Android","florent37/ExpectAnim",245,3431,2657,83,33,65,10,"2019-07-01T15:04:31Z",0
"Android","motianhuo/VCameraDemo",467,35568,1410,77,30,17,0,"2019-06-23T13:22:28Z",0
"Android","prcaen/external-resources",11,168,156,8,0,39,1,"2019-06-17T12:54:04Z",0
"Android","lichao315/Calendar",162,1820,341,27,2,10,1,"2019-06-14T09:55:36Z",0
"Android","Catrobat/Catroid",345,126947,202,142,0,11370,2834,"2019-07-01T18:48:32Z",0
"Android","ksvc/KSYLive_Android",110,147567,249,25,49,155,50,"2019-07-01T02:46:59Z",0
"Android","makovkastar/FloatingActionButton",889,11228,4037,196,176,321,47,"2019-07-01T10:12:27Z",0
"Android","ValuesFeng/AndroidPicturePicker",80,331,435,12,8,47,4,"2019-05-30T03:29:02Z",0
"Android","MichaelEvans/Aftermath",28,119,348,12,9,34,11,"2019-06-05T12:25:53Z",0
"Android","vlonjatg/progress-activity",176,154,1018,21,25,43,3,"2019-06-20T05:31:37Z",1
"Android","ragdroid/Dahaka",29,1885,185,14,5,19,13,"2019-06-30T08:26:21Z",0
"Android","maxiee/HeartBeat",45,10187,221,13,12,650,1,"2019-06-29T08:12:04Z",0
"Android","openid/AppAuth-Android",333,1174,894,80,313,252,163,"2019-07-01T05:20:47Z",0
"Android","benniaobuguai/android-dynamic-action",24,554,214,13,1,13,1,"2019-04-30T05:24:01Z",0
"Android","k0shk0sh/PermissionHelper",243,1864,1208,48,29,107,16,"2019-07-01T05:01:16Z",0
"Android","grantland/android-autofittextview",659,1190,3875,107,80,61,23,"2019-07-01T11:49:51Z",0
"Android","linglongxin24/WelcomeVideoPager",59,18945,197,9,3,5,0,"2019-06-14T09:48:42Z",0
"Android","ManuelPeinado/ImageLayout",102,20938,410,31,7,48,1,"2019-06-26T14:45:08Z",0
"Android","colintheshots/AnDevCon-RxPatterns",8,129,160,6,2,16,0,"2019-03-30T06:52:12Z",0
"Android","HomHomLin/SlidingLayout",129,5108,622,19,13,39,0,"2019-06-25T06:14:07Z",0
"Android","ryanlijianchang/Recyclerview-Gallery",57,9026,342,10,30,104,2,"2019-07-01T07:31:03Z",0
"Android","tekinarslan/AndroidMaterialDesignToolbar",277,99,719,66,8,30,4,"2019-06-24T03:18:52Z",0
"Android","nanchen2251/CoordinatorAppBarDemo",14,1075,147,3,1,8,0,"2019-06-17T11:48:40Z",0
"Android","Devlight/TintLayout",60,315,314,11,3,13,1,"2019-06-09T00:33:10Z",0
"Android","glt/ScreenRecorder",111,29,347,20,6,3,0,"2019-06-30T11:03:45Z",0
"Android","lessthanoptimal/BoofCV",194,31819,532,68,104,3432,33,"2019-06-27T12:08:03Z",0
"Android","wongzy/BetterWay",56,5835,166,3,0,38,0,"2019-06-18T18:21:06Z",0
"Android","kiwi-bop/flutter_crashlytics",40,247,151,8,66,76,23,"2019-06-27T06:25:58Z",0
"Android","skydoves/PowerMenu",92,7773,558,19,35,161,16,"2019-07-02T01:05:13Z",0
"Android","android-hacker/VirtualXposed",1197,49578,7404,384,620,1129,45,"2019-07-01T14:15:41Z",0
"Android","LaiFeng-Android/SopCastComponent",532,430,2097,111,64,33,0,"2019-07-01T02:05:27Z",0
"Android","aporter/coursera-android",5691,16522,4315,1345,19,73,33,"2019-07-01T19:53:29Z",0
"Android","shardul/Android",214,1208,178,31,1,10,0,"2019-05-30T03:28:58Z",0
"Android","WrBug/DeveloperHelper",88,928,458,25,15,86,2,"2019-06-29T16:44:44Z",0
"Android","limpoxe/Android-ServiceManager",55,132,163,12,0,25,0,"2019-07-01T01:34:53Z",0
"Android","wrapp-archive/floatlabelededittext",237,716,1153,77,32,34,19,"2019-06-22T07:06:27Z",0
"Android","emotionsense/SensorManager",103,2596,216,29,0,309,4,"2019-06-06T06:28:23Z",0
"Android","zaihuishou/ExpandableRecyclerview",144,7711,959,17,29,52,3,"2019-06-29T14:26:14Z",0
"Android","jiangzehui/MD",58,13061,169,9,1,39,0,"2019-06-14T13:32:17Z",0
"Android","linsea/UniversalVideoView",265,463,852,53,55,19,1,"2019-07-01T00:58:24Z",0
