framework,path,A,M,D,total_actions,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
spring,ssarwa/gs-spring-boot,6,23,3,32,20,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0
spring,matmaca/gs-spring-boot,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,goprasad/gs-spring-boot,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,soft-techP/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spring,wsc9108/gs-spring-boot,3,8,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
spring,imjayson/gs-spring-boot,4,1,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
spring,emdollete/gs-spring-boot,15,7,0,22,2,1,1,1,1,0,0,0,0,0,0,1,0,0,15,1,1,0,0,0
spring,jkarethiya/gs-spring-boot,7,10,23,40,10,4,3,2,1,0,2,0,0,1,7,1,0,0,10,1,2,0,0,0
spring,cjshaw1218/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spring,kvalchev/gs-spring-boot,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,borg-land/gs-spring-boot,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
spring,rozbeste/gs-spring-boot,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
spring,sumeetmallick/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,shinecanvas/gs-spring-boot,1,3,19,23,5,3,2,2,1,0,2,0,0,1,1,1,0,0,6,1,2,0,0,0
spring,dimjost/gs-spring-boot,0,0,20,20,3,2,2,1,1,0,2,0,0,1,1,1,0,0,7,1,1,0,0,0
spring,sjegannathansdge/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,robertol18/gs-spring-boot,2,3,27,32,7,3,3,2,2,0,2,0,0,1,1,2,0,0,10,2,2,0,0,0
spring,feiyunzhou/gs-spring-boot,79,98,1,178,128,8,0,4,0,0,0,0,4,0,0,0,0,0,43,0,4,0,0,0
spring,practischool/gs-spring-boot,4,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
spring,challa-harish/gs-spring-boot,40,24,8,72,14,4,4,8,1,1,2,4,0,1,0,1,0,0,32,1,8,0,0,0
spring,chanasmi6/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,RedChou0410/gs-spring-boot,3,23,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
spring,chaitanyakette/gs-spring-boot,0,22,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
spring,potatofamilies/gs-spring-boot,2,0,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
spring,surite/gs-spring-boot,1,17,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0
spring,MaciejPrzybylo/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,Alangulo/gs-spring-boot,5,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
spring,rromanotero/gs-spring-boot,2,2,16,20,8,3,2,1,1,0,0,0,0,1,0,1,0,0,4,2,1,0,0,0
spring,yukibuwana/gs-spring-boot,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,devandsecops/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,tarrantrj/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,kuangjz/gs-spring-boot,5,3,0,8,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
spring,Sudhakarch99/gs-spring-boot,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,publicntu2583/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,seccodingguy/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,johannpickard/gs-spring-boot,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,N-Usha/gs-spring-boot,3,10,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
spring,TomArcher/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,testpodgit7/gs-spring-boot,4,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
spring,HoussemDellai/gs-spring-boot,7,19,17,43,10,2,2,1,1,6,3,5,0,2,5,1,0,0,8,1,1,0,0,0
spring,Lampei/gs-spring-boot,2,2,12,16,3,2,2,2,1,0,0,0,0,0,0,1,0,0,6,1,2,0,0,0
spring,liandongfu/gs-spring-boot,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
spring,kimsejun2000/gs-spring-boot,4,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
spring,arsalankhatri/gs-spring-boot,3,10,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0
spring,fluescher/gs-spring-boot,9,24,0,33,9,2,0,2,0,0,0,5,0,0,6,0,0,0,9,0,2,0,0,0
spring,tdtrung17693/gs-spring-boot,3,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
spring,jbarry1506/gs-spring-boot,0,12,0,12,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
spring,mheck/gs-spring-boot,2,7,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
spring,metnetwork/gs-spring-boot,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
spring,AlexTugarev/gs-spring-boot,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,smishr04/gs-spring-boot,3,38,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
spring,juanricardoherrera/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,kajamhercules/gs-spring-boot,5,25,24,54,3,4,4,6,2,0,0,0,0,2,0,2,0,0,32,2,6,0,0,0
spring,Wreckergibb/gs-spring-boot,2,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
spring,tarasdidyk/gs-spring-boot,2,4,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
spring,meysholdt/gs-spring-boot,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,majortim/gs-spring-boot,8,10,1,19,10,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0
spring,pjsvis/gs-spring-boot,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
spring,dlhansford/gs-spring-boot,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
spring,kaveckamaria/gs-spring-boot,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring,Rajeshmohanty23/gs-spring-boot,3,4,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0
spring,robert-marriott/gs-spring-boot,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
spring,vinod-donthi-by/gs-spring-boot,4,9,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
