framework,sample,full_name,archived,created_at,description,forks,language,open_issues,closed_issues,stars,subscribers,updated_at,watchers,commits,downloads,development_time
Android,googlearchive/leanback-showcase,riggaroo/android-arch-components-date-countdown,0.0,2017-05-17 23:01:33,,45.0,Java,3.0,9.0,206.0,14.0,2021-11-29 13:26:48,206.0,25.0,0.0,1656.0
Android,googlearchive/leanback-showcase,wzq/TVDemo,0.0,2018-02-02 07:21:51,android tv leanback 源码,2.0,Java,0.0,0.0,1.0,2.0,2020-03-18 15:26:26,1.0,4.0,0.0,775.0
Android,googlearchive/leanback-showcase,JarvisGG/ObjectAdapter,0.0,2017-10-30 09:36:38,应对复杂 recyclerview 的卡片类型,0.0,Java,0.0,0.0,2.0,1.0,2018-12-07 02:19:14,2.0,12.0,0.0,402.0
Android,googlearchive/leanback-showcase,Clendy/V14Leanback,0.0,2019-02-22 03:50:39,A library supporting paging loading for Android TV,1.0,Java,0.0,0.0,3.0,2.0,2020-06-10 14:56:24,3.0,1.0,0.0,474.0
Android,googlearchive/leanback-showcase,bertrandmartel/webradio-tv-app,0.0,2017-01-12 15:57:27,A sample Android TV application used to play webradio streaming,0.0,Java,0.0,0.0,1.0,1.0,2018-05-29 18:56:57,1.0,2.0,0.0,502.0
Android,googlearchive/leanback-showcase,bertrandmartel/youtubetv,0.0,2016-11-10 17:47:24,:tv: YouTube embedded player library for Android TV,23.0,Java,12.0,4.0,54.0,4.0,2022-03-24 14:52:00,54.0,159.0,0.0,1959.0
Android,googlearchive/leanback-showcase,00zhengfu00/prj,0.0,2019-02-02 01:37:13,,0.0,Java,0.0,0.0,1.0,2.0,2021-06-05 10:09:05,1.0,4.0,0.0,854.0
Android,googlearchive/leanback-showcase,msisuzney/tv-waterfall-layout,0.0,2019-10-19 04:56:29,一种Android TV瀑布流布局,3.0,Java,0.0,0.0,27.0,1.0,2022-01-24 08:03:19,27.0,36.0,0.0,828.0
Android,googlearchive/leanback-showcase,jimmonster/aac_common,0.0,2019-09-06 06:41:00,,1.0,Java,0.0,0.0,0.0,1.0,2019-10-21 08:12:42,0.0,53.0,0.0,45.0
Android,googlesamples/android-AppUsageStatistics,Lucas1Jorge/App_Usage_Tracker,0.0,2018-07-05 00:24:42,,0.0,Java,0.0,0.0,0.0,1.0,2018-07-05 00:40:12,0.0,8.0,0.0,0.0
Android,googlesamples/android-AppUsageStatistics,ashwintantri/AppUsageStats,0.0,2020-02-24 12:16:25,,0.0,Java,0.0,0.0,0.0,2.0,2020-02-24 12:20:24,0.0,22.0,0.0,0.0
Android,googlesamples/android-testing-templates,gdragan/android-testing,0.0,2015-11-18 15:57:14,,0.0,Java,0.0,1.0,0.0,3.0,2016-07-20 21:24:54,0.0,5.0,0.0,245.0
Android,googlesamples/android-testdpc,jkYishon/android6.0,0.0,2015-12-09 07:01:11,学习安卓源代码，在源代码中记录相关的学习笔记,5.0,Java,0.0,0.0,5.0,1.0,2019-11-18 06:54:49,5.0,11.0,0.0,1439.0
Android,googlesamples/android-testdpc,xdtianyu/android_2.3.5,0.0,2012-11-08 12:40:47,"android 2.3.5 source code mirror, ISO package http://pan.baidu.com/s/1kT7hgAr",10.0,Java,1.0,0.0,3.0,2.0,2021-11-28 15:21:53,3.0,3.0,0.0,3307.0
Android,googlesamples/android-testdpc,lmjssjj/wiki,0.0,2017-06-15 09:01:35,,0.0,Java,0.0,0.0,0.0,1.0,2021-12-13 07:05:02,0.0,196.0,0.0,1641.0
Android,googlesamples/android-testdpc,jalong4/AttestProps,0.0,2020-12-04 19:59:46,Android Test App which calls Attestation API's,0.0,Java,0.0,0.0,1.0,2.0,2021-03-10 21:08:30,1.0,26.0,0.0,96.0
Android,googlesamples/android-testdpc,jalong4/UniqueID,0.0,2020-03-06 03:17:28,,1.0,Java,0.0,1.0,1.0,2.0,2020-08-31 23:52:20,1.0,18.0,0.0,178.0
Android,googlesamples/android-testdpc,ryuunoakaihitomi/PowerAct,0.0,2020-05-24 03:46:53,An Android library that can manipulate power-related actions with just few lines of code.,4.0,Java,0.0,0.0,11.0,1.0,2022-02-18 11:23:06,11.0,196.0,0.0,635.0
Android,googlesamples/easypermissions,CaMnter/AndroidLife,0.0,2015-11-16 06:24:10,📔 CaMnter's android learning life and footprint.,73.0,Java,0.0,4.0,304.0,22.0,2022-02-21 11:55:05,304.0,1468.0,0.0,2289.0
Android,googlesamples/easypermissions,54binge/EasySubway,0.0,2017-08-31 07:59:23,简单看地铁,1.0,Java,0.0,0.0,1.0,1.0,2019-06-03 03:06:29,1.0,11.0,0.0,640.0
Android,googlesamples/easypermissions,0xm1nam0/RxCore,0.0,2017-01-17 11:45:05,开发框架基于RxJava2+Retrofit2,30.0,Java,2.0,0.0,134.0,4.0,2022-03-03 01:11:39,134.0,41.0,0.0,1870.0
Android,googlesamples/easypermissions,m122469119/EcxppSDK,0.0,2017-11-21 17:15:53,千旸科技SDK,0.0,Java,0.0,0.0,0.0,1.0,2019-05-01 13:11:44,0.0,18.0,0.0,525.0
Android,googlesamples/easypermissions,qyxxjd/AndroidBasicProject,0.0,2015-11-08 05:45:02,新项目地址： https://github.com/qyxxjd/BaseProject,22.0,Java,0.0,0.0,65.0,7.0,2019-12-25 16:12:14,65.0,98.0,0.0,1508.0
Android,googlesamples/easypermissions,qyxxjd/BaseProject,0.0,2016-12-09 08:10:56,android base project,16.0,Java,0.0,0.0,49.0,4.0,2021-03-02 02:04:59,49.0,37.0,0.0,1543.0
Android,googlesamples/easypermissions,SpringSmell/knowldegeBase,0.0,2016-11-02 02:26:06,,0.0,Java,0.0,0.0,0.0,1.0,2016-11-02 09:33:42,0.0,1.0,0.0,0.0
Android,googlesamples/easypermissions,wzdsqyy/AppPlus,0.0,2016-09-21 10:52:16,init,0.0,Java,0.0,0.0,0.0,2.0,2016-09-21 11:12:05,0.0,123.0,0.0,0.0
Android,googlesamples/easypermissions,ynztlxdeai/MVPtemplate,0.0,2017-04-04 06:17:20,,0.0,Java,0.0,0.0,1.0,1.0,2021-05-08 07:18:26,1.0,50.0,0.0,1495.0
Android,googlesamples/easypermissions,jarylan/AdaptationX-android,0.0,2017-02-13 06:45:01,,0.0,Java,0.0,0.0,0.0,2.0,2017-02-13 06:45:02,0.0,6.0,0.0,0.0
Android,googlesamples/easypermissions,itfengan/permissionDemo,0.0,2018-09-12 02:14:05,base lib - permission,0.0,Java,0.0,0.0,0.0,0.0,2018-09-12 02:19:17,0.0,2.0,0.0,0.0
Android,googlesamples/easypermissions,aftabsikander/PermissionAssistant,0.0,2017-03-31 14:15:44,PermissionAssistant is a wrapper library to simplify basic system permissions logic when targeting Android M or higher.,1.0,Java,0.0,0.0,3.0,4.0,2017-04-04 13:19:03,3.0,7.0,0.0,3.0
Android,googlesamples/easypermissions,karthick1611/BookOnTravel,0.0,2018-01-10 17:21:11,Check Hotel Nearb your Destination.,0.0,Java,0.0,0.0,0.0,1.0,2018-01-10 17:21:26,0.0,2.0,0.0,0.0
Android,googlesamples/easypermissions,Begin-With-Start/Demoall,0.0,2017-05-05 05:25:17,demo的集合。,0.0,Java,0.0,0.0,1.0,2.0,2020-04-11 04:57:11,1.0,79.0,0.0,1071.0
Android,googlesamples/easypermissions,zengven/android-base,0.0,2017-10-27 10:21:34,android base class and util,0.0,Java,0.0,0.0,0.0,1.0,2017-10-27 10:37:29,0.0,4.0,0.0,0.0
Android,googlesamples/easypermissions,zengven/CommonApp,0.0,2019-04-10 10:10:27,,0.0,Java,0.0,0.0,0.0,1.0,2019-04-12 07:48:10,0.0,4.0,0.0,1.0
Android,googlesamples/easypermissions,zengven/EasyPermissions,0.0,2017-09-14 09:57:56,,0.0,Java,0.0,0.0,1.0,1.0,2017-09-14 10:01:52,1.0,3.0,0.0,0.0
Android,googlesamples/easypermissions,AnVector/YunYiBao,0.0,2017-05-23 10:21:51,,0.0,Java,0.0,0.0,0.0,1.0,2018-05-23 14:59:39,0.0,58.0,0.0,365.0
Android,googlesamples/easypermissions,solomaticydl/TonyPermissionSample,0.0,2018-05-14 13:35:02,這是關於Android M(6.0)系統權限控管的範例，使用easypermission,0.0,Java,0.0,1.0,0.0,1.0,2019-01-15 07:38:03,0.0,10.0,0.0,245.0
